wheelchair_accessible_entrance,wheelchair_accessible_parking,women_prayer_section,address,city,country_code,latitud,longituf,neighborhood,openinghours_0_day,openinghours_0_hours,openinghours_1_day,openinghours_1_hours,openinghours_2_day,openinghours_2_hours,openinghours_3_day,openinghours_3_hours,openinghours_4_day,openinghours_4_hours,openinghours_5_day,openingHours_5_hours,openinghours_6_day,openinghours_6_hours,phone,reviews_count,search_pageurl,,state,street,title,url_slug,image_name,total_score,url_google,website
TRUE,TRUE,FALSE,R782+P3Q - Dubai - United Arab Emirates,Dubai,AE,248.168.499,55.250.247,,,,,,,,,,,,,,,,,43,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,R782+P3Q,Mosque in R782+P3Q,mosque-r782-p3q,mosque-in-r782-p3q.jpg,4.5,https://www.google.com/maps/search/?api=1&query=Mosque&query_place_id=ChIJST9e2kqcXz4Ri3ZA8_qkG4I,
FALSE,TRUE,FALSE,R6CV+3PC - Dubai - United Arab Emirates,Dubai,AE,248.201.951,552.442.762,,,,,,,,,,,,,,,,,5,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,R6CV+3PC,Endurance City Masjid,endurance-city-masjid,endurance-city-masjid.jpg,5,https://www.google.com/maps/search/?api=1&query=Endurance%20City%20Masjid&query_place_id=ChIJEQynxsudXz4R9Le4a7hO0bE,
TRUE,TRUE,FALSE,7899+3CH - Deira - Dubai - United Arab Emirates,Dubai,AE,252.676.982,553.186.167,Deira,,,,,,,,,,,,,,,,400,"https://www.google.com/maps/search/Mosqu/@25.446258854993534,55.15801460628913,14z?hl=en",,Dubai,7899+3CH,The late Omar Ali Bin Haider mosque,late-omar-ali-bin-haider-mosque,omar-ali-bin-haider-mosque.jpg,4.8,https://www.google.com/maps/search/?api=1&query=The%20late%20Omar%20Ali%20Bin%20Haider%20mosque&query_place_id=ChIJkW2vSspcXz4RZ-ll1ysjdtw,
TRUE,TRUE,FALSE,R6FQ+J3C - Dubai - United Arab Emirates,Dubai,AE,24.824.071,552.376.542,,,,,,,,,,,,,,,,,1,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,R6FQ+J3C,Mosque in R6FQ+J3C,mosque-r6fq-j3c,mosque-in-R6FQ-J3C.jpg,4,https://www.google.com/maps/search/?api=1&query=Mosque&query_place_id=ChIJ88mC-s-dXz4R3eJEhH1Sjm4,
TRUE,TRUE,FALSE,1 17A St - Deira - Dubai - United Arab Emirates,Dubai,AE,252.689.828,553.231.898,Deira,,,,,,,,,,,,,,,,6,"https://www.google.com/maps/search/Mosqu/@25.446258854993534,55.15801460628913,14z?hl=en",,Dubai,1 17A St,Mosque Reef Mall,mosque-reef-mall,mosque-reef-mall.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Mosque%20Reef%20Mall&query_place_id=ChIJB5w_xTldXz4Rr2erPescJMI,
TRUE,TRUE,FALSE,V5GG+5V7 - Dubai South - Dubai - United Arab Emirates,Dubai,AE,248.754.167,551.771.705,Dubai South,,,,,,,,,,,,,,,,17,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,V5GG+5V7,Mosque in V5GG+5V7,mosque-v5gg-5v7,v5gg-5v7-mosque.jpg,5,https://www.google.com/maps/search/?api=1&query=Mosque&query_place_id=ChIJ1xtAsQZ1Xz4RND1cHWhu-Qc,
TRUE,TRUE,FALSE,54 3b St - Deira - Dubai - United Arab Emirates,Dubai,AE,252.792.234,553.465.823,Deira,,,,,,,,,,,,,,,,29,"https://www.google.com/maps/search/Mosqu/@25.446258854993534,55.15801460628913,14z?hl=en",,Dubai,54 3b St,Masjid Khalifa bin Sultan Mosque,masjid-khalifa-bin-sultan-mosque,masjid-khalifa-bin-sultan-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Masjid%20Khalifa%20bin%20Sultan%20Mosque%20%D9%85%D8%B3%D8%AC%D8%AF%20%D8%AE%D9%84%D9%8A%D9%81%D8%A9%20%D8%A8%D9%86%20%D8%B3%D9%84%D8%B7%D8%A7%D9%86&query_place_id=ChIJVVUVlpJcXz4RhQkOUzgeL1k,
TRUE,TRUE,FALSE,Dubai Investment Park - 2 - Dubai - United Arab Emirates,Dubai,AE,249.736.793,552.007.966,Dubai Investments Park,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,"9,72E+16",123,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,Dubai Investment Park - 2,Al Salam Masjid,al-salam-masjid,al-salam-masjid.jpg,4.6,https://www.google.com/maps/search/?api=1&query=Al%20Salam%20Masjid&query_place_id=ChIJt1L9y0tyXz4Rb7fMvkIdoJw,
TRUE,TRUE,FALSE,784H+39W - Port Saeed - Dubai - United Arab Emirates,Dubai,AE,252.552.458,553.284.553,Port Saeed,,,,,,,,,,,,,,,971800600,350,"https://www.google.com/maps/search/Mosqu/@25.446258854993534,55.15801460628913,14z?hl=en",,Dubai,784H+39W,Khalifa Altajir Mosque,khalifa-altajir-mosque,khalifa-altajir-mosque.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Khalifa%20Altajir%20Mosque&query_place_id=ChIJwbw1BtlcXz4RDrtLZKeivxU,
TRUE,TRUE,FALSE,V573+5V - Dubai South - Dubai - United Arab Emirates,Dubai,AE,248.634.177,551.548.189,Dubai South,,,,,,,,,,,,,,,,10,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,V573+5V,EFTA Mosque,efta-mosque,eifta-mosque.jpg,4.6,https://www.google.com/maps/search/?api=1&query=EFTA%20Mosque&query_place_id=ChIJtRs7CCl1Xz4RqSyvuY0Yofg,
TRUE,TRUE,FALSE,6747+C9X - Al Wasl - Dubai - United Arab Emirates,Dubai,AE,2.520.611,552.634.969,Al Wasl,Monday,5:30 AM to 9 PM,Tuesday,5:30 AM to 9 PM,Wednesday,5:30 AM to 9 PM,Thursday,5:30 AM to 9 PM,Friday,5:30 AM to 9 PM,Saturday,5:30 AM to 9 PM,Sunday,5:30 AM to 9 PM,,219,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,6747+C9X,City Walk Mosque,city-walk-mosque,city-walk-mosque.jpg,4.8,https://www.google.com/maps/search/?api=1&query=City%20Walk%20Mosque%20%7C%20%D9%85%D8%B3%D8%AC%D8%AF%20%D8%B3%D9%8A%D8%AA%D9%8A%20%D9%88%D9%88%D9%83&query_place_id=ChIJny3yi2RCXz4RxkXmZhyf6tk,
TRUE,TRUE,FALSE,R8XV+VHX - Dubai - United Arab Emirates,Dubai,AE,248.497.349,553.439.994,,Monday,4:21 AM to 10 PM,Tuesday,4:21 AM to 10 PM,Wednesday,4:21 AM to 10 PM,Thursday,4:21 AM to 10 PM,Friday,4:21 AM to 10 PM,Saturday,4:21 AM to 10 PM,Sunday,4:21 AM to 10 PM,,34,"https://www.google.com/maps/search/Mosqu/@24.82593884667096,55.22625165000002,14z?hl=en",,Dubai,R8XV+VHX,The Endurance Masjid,endurance-masjid,endurance-masjid.jpg,5,https://www.google.com/maps/search/?api=1&query=The%20Endurance%20Masjid&query_place_id=ChIJw9DWU-SCXz4Rhhxmy1YO28M,
